SVC,Linear SVC,LDA,K Neighbour,LR
0.681318681,0.604395604,0.703296703,0.714285714,0.714285714
0.78021978,0.791208791,0.736263736,0.725274725,0.692307692
0.747252747,0.692307692,0.692307692,0.714285714,0.681318681
0.802197802,0.494505495,0.725274725,0.714285714,0.703296703
0.725274725,0.703296703,0.758241758,0.747252747,0.714285714
0.802197802,0.747252747,0.714285714,0.714285714,0.692307692
0.813186813,0.835164835,0.802197802,0.824175824,0.758241758
0.78021978,0.791208791,0.725274725,0.692307692,0.78021978
0.857142857,0.824175824,0.824175824,0.791208791,0.824175824
0.802197802,0.769230769,0.736263736,0.747252747,0.736263736
0.692307692,0.747252747,0.791208791,0.714285714,0.813186813
0.769230769,0.791208791,0.791208791,0.725274725,0.791208791
0.714285714,0.857142857,0.758241758,0.703296703,0.835164835
0.736263736,0.791208791,0.802197802,0.78021978,0.78021978
0.846153846,0.703296703,0.824175824,0.813186813,0.835164835
0.736263736,0.747252747,0.736263736,0.692307692,0.758241758
0.813186813,0.791208791,0.813186813,0.769230769,0.758241758
0.758241758,0.747252747,0.747252747,0.714285714,0.758241758
0.67032967,0.736263736,0.78021978,0.714285714,0.725274725
0.747252747,0.824175824,0.879120879,0.758241758,0.835164835
0.703296703,0.802197802,0.824175824,0.703296703,0.769230769
0.791208791,0.78021978,0.813186813,0.769230769,0.758241758
0.725274725,0.747252747,0.824175824,0.747252747,0.78021978
0.78021978,0.802197802,0.824175824,0.736263736,0.78021978
0.802197802,0.824175824,0.835164835,0.802197802,0.791208791
0.758241758,0.824175824,0.868131868,0.747252747,0.78021978
0.725274725,0.824175824,0.835164835,0.78021978,0.802197802
0.714285714,0.78021978,0.78021978,0.835164835,0.769230769
0.714285714,0.736263736,0.802197802,0.714285714,0.736263736
