9.494345686,0.7692308,25
10.26884058,0.6813187,35
6.537397044,0.72527474,45
8.810644705,0.6813187,55
5.892811461,0.84615386,65
5.928939853,0.7692308,75
5.851700222,0.8131868,85
6.309052625,0.73626375,95
5.529751615,0.74725276,105
2.698024557,0.85714287,115
4.846999724,0.84615386,125
1.64333432,0.9230769,135
2.778167418,0.8791209,145
1.132631543,0.95604396,155
0.94552526,0.93406594,165
0.713463806,0.94505495,175
1.502911277,0.93406594,185
0.806299299,0.94505495,195
0.149075708,0.978022,205
